index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
182	0.9895	470.8989673059952	0.2882305878389758	199.76567802111424	182	117.81118457672751
183	0.97725	469.1212826728962	0.2892555640828857	194.12297273869788	183	118.85670063275451
184	0.98075	461.50769375554245	0.2857337071968731	198.63995718202486	184	116.87780029234646
185	0.9815	464.29120495743933	0.28387671930718267	206.07360728859067	185	117.55968279379452
186	0.9925	481.9481875349073	0.2898992443324935	194.5721224387792	186	118.74347026527076
187	0.9925	472.28732200002906	0.2834130982367757	207.0745937776646	187	116.85125437854218
188	0.9795	468.8678003422933	0.2872171175769948	201.33350545883533	188	117.90883582184789
189	0.98675	478.15763331959823	0.2890803141626551	195.6657192130756	189	116.33338517584559
190	0.97825	466.76129924972213	0.28650651673907473	200.3608725940791	190	117.92443362868964
191	0.98325	466.50377188408953	0.28300279684719026	212.92838077670743	191	116.58701321682457
192	0.96725	456.6431007824985	0.2892521754113895	193.99196861299396	192	116.25631650081847
193	0.9905	477.2114087493011	0.29029951203096066	193.88979323647493	193	116.64467489982965
194	0.99575	487.31846377836985	0.28326638212402677	211.1497534971908	194	118.81669517323628
195	0.9895	477.96737069638357	0.28649570490146514	201.8734169750198	195	115.01138566274004
196	0.98725	463.2203727815601	0.28540136743479344	204.6941870078475	196	116.60656826688717
197	0.982	456.1183492417063	0.2866047182620502	201.5809057314476	197	114.83332101856864
198	0.98925	480.6792920396894	0.2811094263330805	215.57865037946854	198	118.25952110184481
199	0.99575	476.29297458892796	0.2848481044438863	205.74401500494338	199	116.96412894449857
200	0.9865	475.27853056299347	0.28278003041054234	211.6273355279418	200	118.27820696591488
201	0.988	481.071211199016	0.29182692307692293	191.39600149625224	201	119.38798511829448
202	0.976	482.51143245579425	0.28807206284153	198.46160177330233	202	118.7273794705751
203	0.98075	470.6432804664496	0.2904367405896846	193.2197707432418	203	119.01470872897015
204	0.98125	481.583274030081	0.28961358811040333	193.47348031791284	204	115.01078408638539
205	0.9895	479.36827061659625	0.28964123294593214	196.9177765283535	205	120.42081311781526
206	0.9825	473.88221675589244	0.2963994910941474	184.48629308558114	206	118.41176178832694
207	0.99175	475.4884334172451	0.28224518947987554	210.65528154779565	207	117.39621314319702
208	0.9855	469.1070068544952	0.28587434466429884	205.06865060742007	208	116.08925830796548
209	0.99275	481.10590145266565	0.285671115588013	202.92626504056557	209	117.57671507098338
210	0.99325	483.72761253091966	0.29106468663478474	192.05157255889688	210	119.1058377446199
211	0.991	478.3395679980542	0.28779011099899077	201.13245561490066	211	116.63129601964552
212	0.97325	463.16014895366754	0.2842195393441217	208.83142020234158	212	117.86615158618031
213	0.98125	467.4232770837475	0.2842038216560507	205.6570570645262	213	115.68020979299367
214	0.985	481.6861460217363	0.2916370558375637	193.90725272072032	214	118.40514286564088
215	0.9815	465.1658767772737	0.2852182034301238	204.7929125090752	215	117.51123590791624
216	0.983	470.27305019673923	0.290623940318752	193.8280957874263	216	117.67693385204723
217	0.99425	478.6894717203572	0.2894267035453859	198.42795742013834	217	118.24175473818202
218	0.996	487.42292258001163	0.2888930722891565	198.97920263481961	218	117.99096532614833
219	0.9895	472.80589633630564	0.28899275728482393	193.17960734719222	219	115.94739856382644
220	0.99325	483.50979676282935	0.28392902089101424	209.14570306609798	220	116.93007743676061
221	0.99725	489.56198377539505	0.2859196122670676	204.1361739729433	221	117.68972761030334
222	0.9735	454.7046871715864	0.2934043828111624	184.5170106484661	222	116.91531939161207
223	0.97675	458.10029664545254	0.2828342291613341	212.57052210624738	223	116.35132819498654
224	0.99525	502.9372749668298	0.28559407184124586	207.71149416405098	224	119.66401633344321
225	0.96725	451.09012475223216	0.2975144309468423	181.7855326054041	225	117.98663172008274
226	0.99525	490.8573049085561	0.28317005777442844	210.29070878145774	226	117.5747926675144
227	0.98725	472.27803291240366	0.2882670718325315	195.29778332787996	227	116.45338450992341
228	0.9805	473.80883347833753	0.28723440421553603	201.34992651891173	228	118.99725277680398
